room_id	host_id	room_type	borough	neighborhood	reviews	overall_satisfaction	accommodates	bedrooms	price	minstay	latitude	longitude	last_modified
6864560	35969055	Entire home/apt		West Town	4	5	4	2	200	1	41.889212	-87.65359	03:28.5
3249307	7453592	Shared room		Tri-Taylor	24	4.5	2	1	40	1	41.870247	-87.683227	49:49.2
975989	5339120	Private room		Gold Coast	5	5	3	1	225	1	41.902821	-87.625911	11:01.8
7544444	29465308	Private room		Lake View East	6	5	2	1	70	1	41.93317	-87.64127	19:52.4
6275749	17129749	Private room		The Loop	1		1	1	50	5	41.88183	-87.624494	02:47.8
5652574	27235938	Private room		Lincoln Park	21	5	2	1	129	1	41.924494	-87.643729	02:39.5
5985327	30661531	Private room		Sheffield Neighbors	15	5	2	1	80	1	41.921014	-87.654688	56:13.8
7581437	27713780	Entire home/apt		Wrightwood Neighbors	0		3	0	80	2	41.928154	-87.657722	46:48.7
6491365	33925443	Entire home/apt		Lake View	5	4.5	4	2	185	1	41.935884	-87.667338	01:48.4
1889163	9824952	Private room		Lake View	5	5	2	1	59	1	41.936132	-87.649762	33:30.8
446474	2217180	Entire home/apt		Ukrainian Village	4	5	4	3	175	3	41.900952	-87.681812	31:16.9
3580497	3986873	Private room		Near North	45	5	2	1	114	3	41.898051	-87.629774	06:37.9
4302418	3142198	Private room		Roscoe Village	17	4.5	3	1	92	1	41.944833	-87.67918	08:12.9
1925053	1683823	Private room		Bucktown	35	5	2	1	85	1	41.916831	-87.679163	33:38.7
7581953	20222192	Entire home/apt		Pilsen	1	5	3	1	125	2	41.859209	-87.665838	36:14.6
1233528	6726566	Entire home/apt		Wrightwood Neighbors	5	5	4	2	195	7	41.926923	-87.656943	27:47.9
4950040	5907266	Entire home/apt		Bucktown	7	4.5	4	2	125	2	41.919002	-87.679282	42:19.6
6932154	13350091	Entire home/apt		Old Town	0		2	1	150	1	41.909827	-87.634162	31:17.1
1601561	6904912	Entire home/apt		Humboldt Park	57	5		2	145	1	41.902626	-87.695852	32:58.4
3648946	16244598	Shared room		East Hyde Park	35	5	4	1	40	1	41.803894	-87.58731	22:21.6
1183249	2658212	Entire home/apt		Lake View East	176	4.5	2	1	99	1	41.939044	-87.644621	11:00.2
5712768	22567195	Entire home/apt		Logan Square	28	4.5		5	339		41.919341	-87.691004	26:45.3
5737679	29755347	Entire home/apt		Buena Park	22	4.5	3	1	179	2	41.960859	-87.647304	35:52.7
4158376	6090001	Private room		Logan Square	11	5	2	1	75	1	41.930177	-87.711305	14:47.4
6894373	26631228	Entire home/apt		Wrigleyville	14	4.5	2	1	80	1	41.948509	-87.658422	03:57.5
3728937	19051832	Entire home/apt		Humboldt Park	50	5	5	2	200	2	41.900694	-87.687146	01:53.9
7871692	41486830	Entire home/apt		Near North	3	5	2	1	125	1	41.90384	-87.631148	30:03.1
6757098	1649647	Entire home/apt		West Town	7	5		2	179	2	41.893512	-87.674862	38:33.4
5247850	22969143	Entire home/apt		Logan Square	31	5	4	2	180	2	41.926974	-87.708985	47:50.1
7019216	2250075	Entire home/apt		Old Town	5	4	2	0	99	1	41.909898	-87.636191	55:30.0
870297	2737977	Entire home/apt		Gold Coast	18	5	3	1	245	2	41.908906	-87.63083	29:50.3
760827	4010906	Private room		Bronzeville	0		1	1	48	1	41.819645	-87.614594	55:59.8
6684413	127364	Entire home/apt		West Town	13	4.5		3	225	2	41.894382	-87.665862	39:32.2
7022206	36808030	Entire home/apt		Lincoln Park	1	5	2	1	275	1	41.920837	-87.639651	07:33.4
6558625	34301796	Entire home/apt		Andersonville	7	5	2	1	110	2	41.981943	-87.67024	00:37.3
6093172	30235297	Entire home/apt		Sheridan Park	10	5		3	175	3	41.968515	-87.664679	09:44.4
6378834	26268663	Entire home/apt		West Town	4	4.5	4	2	250	1	41.891933	-87.667255	34:50.1
4709696	24341170	Entire home/apt		Logan Square	11	5		2	250	1	41.921563	-87.689195	05:40.6
6355464	33107506	Entire home/apt		Hyde Park	6	4.5	2	1	75	1	41.796565	-87.59587	15:25.1
1450173	6885032	Entire home/apt		Old Town	62	5	2	0	125	1	41.904954	-87.631856	40:30.3
3677795	128743	Entire home/apt		Noble Square	7	5	2	1	100	3	41.8993	-87.662409	07:54.3
7730115	40620214	Entire home/apt		Jefferson Park	8	5	3	1	83	1	41.962773	-87.78414	43:48.1
4173269	15390297	Entire home/apt		Lincoln Park	41	5	2	1	135	1	41.91796	-87.643359	04:45.8
7018014	24243469	Private room		Lake View	20	5	2	1	109	1	41.939959	-87.653141	07:05.1
2907112	6264764	Private room		West Town	22	5	2	1	130	3	41.885226	-87.651946	32:23.9
697634	3574415	Entire home/apt		Old Town	92	5	4	2	144	4	41.904454	-87.633357	46:08.3
107345	528819	Entire home/apt		East Ukrainian Village	2		2	1	55	90	41.90192	-87.676532	17:30.6
5657446	699889	Entire home/apt		The Loop	9	5	2	1	235	1	41.883873	-87.626124	58:21.4
6572020	10390333	Private room		Cragin	11	4.5	3	1	50	2	41.918552	-87.752992	54:51.9
607502	3010218	Private room		University Village / Little Italy	106	4.5	2	1	65	1	41.870908	-87.65149	28:01.6
7173291	10640361	Private room		East Hyde Park	20	5	2	1	82	1	41.802281	-87.585131	05:44.8
3497096	4336170	Entire home/apt		Wrightwood Neighbors	10	4	2	2	90	1	41.927093	-87.663368	02:57.6
6705134	35099742	Entire home/apt		River North	1	5	2	0	132	1	41.888625	-87.63448	38:11.4
6863178	683529	Entire home/apt		Wrightwood Neighbors	0			4	350		41.927901	-87.650639	41:19.7
7893966	22377801	Private room		South Loop	8	4.5	2	1	85	2	41.8675	-87.633191	07:52.5
4538562	23533691	Private room		Wicker Park	9	5	1	1	85	1	41.906821	-87.683742	44:16.4
7398946	38662075	Entire home/apt		Gold Coast	6	4.5	3	1	145	2	41.906273	-87.629426	41:17.4
4716159	8284865	Entire home/apt		Hyde Park	0		2	3	110	1	41.792092	-87.588357	03:22.5
5906280	30677708	Private room		Ravenswood	9	4.5	5	1	43	30	41.968874	-87.697917	24:03.4
3553920	10610251	Entire home/apt		Sheffield Neighbors	56	4.5		3	175	3	41.919317	-87.64937	45:03.0
6969869	36544858	Entire home/apt		Near North	10	4.5	2	0	135	1	41.89352	-87.628791	57:33.7
4209456	15583683	Entire home/apt		South Loop	52	4.5		2	179	2	41.856083	-87.625983	08:40.3
6895813	36133761	Entire home/apt		Gold Coast	8	5	2	1	125	1	41.905919	-87.629219	34:59.8
2117550	3730806	Private room		Magnolia Glen	0		2	1	89	1	41.987971	-87.663618	20:00.4
7498717	6661153	Private room		Logan Square	14	4.5	4	1	60	1	41.913988	-87.689857	25:28.3
3864615	19948811	Entire home/apt		Humboldt Park	27	4	3	1	107	1	41.899252	-87.696952	50:16.6
6356193	2329483	Entire home/apt		Margate Park	4	5	3	1	190	2	41.974012	-87.653422	43:14.9
1061945	25188	Entire home/apt		The Loop	0		2	1	249	4	41.888267	-87.625602	24:36.6
